# title: S'WET Deep Water
# author: Glen
# version: 1
section,label,type,seconds,reps
Warm-Up,Forward Run,work,45,1
Warm-Up,Flexed-hand push pull,power,15,1
Warm-Up,Mountain Climber,work,45,1
Warm-Up,High Knees on the Spot,power,15,1
Warm-Up,X-Country Ski,work,45,1
Warm-Up,White-water Sweeps,power,15,1
Warm-Up,Bicycle Forward + breast stroke,work,45,1
Warm-Up,Wide Legs + speedball arms,power,15,1
Warm-Up,Side Stroke - 4 one side 4 other,work,45,1
Warm-Up,Flutter Kick Down + jazz hands,power,15,1
Wall Work,Straddle Jog + boxing arms,work,45,1
Wall Work,Recover,rest,15,1
Wall Work,Tuck & Point + double-arm push-away,work,45,1
Wall Work,Recover,rest,15,1
Wall Work,Left & Right Forward Kick + alt. uppercut,work,45,1
Wall Work,Recover,rest,15,1
Wall Work,Front Wide Kick + opposite arm sweeps,work,45,1
Wall Work,Recover,rest,15,1
Wall Work,Flutter Kick,work,45,1
Wall Work,Recover,rest,15,1
Wall Work,Plank Fly,work,45,1
Wall Work,Rest between circuits,rest,30,1
Wall Circuit 2,Straddle Jog + boxing arms,work,30,1
Wall Circuit 2,Tuck & Point + double-arm push-away,work,30,1
Wall Circuit 2,Left & Right Forward Kick + alt. uppercut,work,30,1
Wall Circuit 2,Front Wide Kick + opposite arm sweeps,work,30,1
Wall Circuit 2,Flutter Kick,work,30,1
Wall Circuit 2,Plank Fly,work,30,1
Circuit Travel,Run,work,60,1
Circuit Travel,Pick & Place - 4 one side 4 other,work,60,1
Circuit Travel,Forward Bicycle + breast-stroke arms,work,60,1
Circuit Travel,Rest - stationary movement,rest,20,1
Circuit Travel,Reverse Bicycle + reverse breast-stroke arms,work,60,1
Circuit Travel,Forward Leaps,work,60,1
Circuit Travel,Trade places,rest,30,1
Circuit Travel,,repeat,0,2
Circuit CIA,Conditioning - Side-to-Side Moguls,work,45,1
Circuit CIA,Active rest,rest,15,1
Circuit CIA,Isolation - Triple Moguls,work,45,1
Circuit CIA,Active rest,rest,15,1
Circuit CIA,Work Angles - Side Mogul with Split,work,45,1
Circuit CIA,Go to wall,rest,15,1
Circuit CIA,12/6 & 9/3 Double Wall Taps - L-Sit,work,20,1
Circuit CIA,Fly-aways,rest,40,1
Circuit CIA,Rock & Roll Wall Taps - Tuck & Scoop,work,20,1
Circuit CIA,Fly-aways,rest,40,1
Circuit CIA,,repeat,0,2
Noodle Sagittal,Pull Down - base,work,30,1
Noodle Sagittal,Power down then slow up,power,30,1
Noodle Sagittal,Wood Chops,work,30,1
Noodle Sagittal,Rest,rest,30,1
Noodle Transverse,Knees up with side-to-side twists,work,30,1
Noodle Transverse,Outside knee bent inside straight - sweep,work,30,1
Noodle Transverse,Twist with leg extension each side,work,30,1
Noodle Transverse,Rest,rest,30,1
Noodle Frontal,Side pass-through side to side,work,30,1
Noodle Frontal,Power side pass-through,power,30,1
Noodle Frontal,Noodle circles - 4 clockwise 4 anti,work,30,1
Noodle Frontal,Rest,rest,30,1
Warm Down,Settle - ankle rotations + point & flex,cooldown,45,1
Warm Down,Hip / quad - knee to chest then swing behind,cooldown,45,1
Warm Down,Hamstring - noodle under foot extend & hold,cooldown,45,1
Warm Down,Lower back - gentle twist & opener,cooldown,45,1
Warm Down,Glute / hip - Figure-4 fold to side,cooldown,45,1
Warm Down,Shoulder - gentle arm sweeps side to side,cooldown,45,1
Warm Down,Tricep - swim to wall & stretch,cooldown,45,1
